Response,Tweet
Negative,"@benackerman BTW my iPhone is acting funny, dying quickly and freezing and BS.  I'm not admitting anything, just sayin "
Negative,Sitting here wondering why &quot;ED&quot; still has such a strong hold on me 
Negative,@bananaface IM SORRY I GOT YOU SICK.  lol. going to bed too. NIGHT!
Negative,"@carolrainbow no Internet at home, have to drive into Ox to use Internet because of builders! "
Negative,@Steve_Buscemi the weather in Canada is freezing 
Negative,twiggassssssss I been out of range all day  I'm back now and hopefully for good.
Negative,@danadearmond 
Negative,anyone who reads this pray for my Grandma. She's in pain 
Negative,"#3 woke up and was having an accident - &quot;It's pushing, it's pushing!&quot; he was crying because he couldn't stop from wetting his pants.  "
Negative,"Home from Franklin street, I almost jumped over a fire. Someone kicked it before I could.  Jenny lost her shoe."
Negative,@johnnybeane hey! you just changed your default. 
Negative,Finally gave in and was bored enough to start this thing. I think the 140 is going to be a problem for me tho.  its like a myspace status.
Negative,"@ellievolia If oooonly we were really so lucky, eh? And awh  Definitely too early for work."
Negative,buttload of homework! 
Negative,needs another copy of visual studio 2008 
Negative,"why to we, the only school in the world, be in this week.My school is silly  anyway... look on the bright side. When i'm off, u will be in"
Negative,omg i've an economics test. and i dont know all the things i have to know and omg im gonna fail 
Negative,"@robcthegeek Once upon a time Hundred Islands was the pride of Philippine tourism, but coral/clam/rare fish poaching did it in. Kinda sad "
Negative,"@Henkuyinepu yeah, apparently i have really bad taste "
Negative,@hummiemd I KNOW! I was really surprised since everyone recommends them on youtube.  I have to call them tomorrow and figure it all out.
Negative,Waiting at the airport for my ride while I get harassed by 2 men trying to sell me ugly hats.. Why me?!  I just want to sleep..
Negative,i left my IDs at the location and now i can not go out to bars  FUCKKKKKKKKKKKKK
Negative,@celycarmo i'm sorry I don't understand your last comment 
Negative,@OfficialRandL when is the announcement? i stayed up late last night 
Negative,"@KishoreK this is strange, illegal torrents avlbl everywhere, legal DVD not in stock  What do I do now???"
Negative,ITS NOT ENOUGH TO SAY THAT IMISS U 
Negative,This trolley has up packed in like sardines! Padre game and they REMOVE a car?! Good call MTS 
Negative,"@RandomlyNat Jeez, I was just trying to help  Haha."
Negative,@SupaMagg that happened to me saturday night. along with my glittery green lighter! 
Negative,trying to reduce the number of cigarettes in each day! 
Negative,yea it is so quiet around here cuz everyone has to work im bored to death with nobody to talk to 
Negative,gotta do my cooking assignment  its too hard
Negative,"@treesahquiche okay, about the applepears, I've talked to a few people and they've ALL had them before. No one ever told me, never "
Negative,"@jennifermf I know!  I'm a night owl by nature, hahaha Am I a time zone behind you? It's almost 1 here"
Negative,@mamasvan lol - nope! but i did have complete #camerafail 
Negative,@maxime68 @megelder But! I'm useless if I don't sleep  It's not fair! I want all the fun as well!!!
Negative,My Pookie has a UTI.  I have to be Nurse Gabbie and get him back to 100%!!! No more sodas!!!!!!!!!!!!!!
Negative,@jillianfish tweet something damn it!  and hang out with me please? 
Negative,@anistorm 
Negative,"I'm SO behind in video games, and everything for that matter. I'm yesterday's news "
Negative,"@sleep_til_noon I did, it was the only one left but I got tempted and ate it soon as I got home  I had a chocolate velvet &amp; ate d mocha"
Negative,Is stressing out because my blackberry keeps flashing a red alert status for no reason!! Its faking me out and I hate it!!! 
Negative,http://twitpic.com/2y34e - I wanna wear my Doc Martens out! Haven't worn them since December. 
Negative,When to the shoe repair shop and the guy could not find my shoes!  So I have to go back and see if he can find them in a couple days. 
Negative,@B_Barnett I did not really see that coming 
Negative,"just woke up from the most vivid, sketchy, not-cool dreams of my life. time to stare at the wall with the lights on. "
Negative,it'll take 3 days for my sister to get her passport 
Negative,@nicolerichie OH MY YES!! i miss 
Negative,Uh oh... I think I am getting sick 
Negative,Good GOD they ruined my belly button!!!  
Negative,Watching Who Framed Roger Rabbit. Makes me miss Toon Town. 
Negative,"@akianz renting.. but very cheap renting, and awesome house. We had 3 buying attempts fall through "
Negative,running nose + spinning head = not a good combination for a meeting! 
Negative,@EazyDoesIt87 NEGATIVE.. you lost my vote of confidence 
Negative,Nasty budget due and my iphone is being sent to Apple today. 
Negative,@Sofii_Noel that�s bad 
Negative,"Dammit, episode 3 of Kings won't play for some reason  stopped in the middle now won't do anything"
Negative,I'm so upset that I missed my chat and quiz online because my free internet has ceased 
Negative,can't believe it! I'm in disbelief of it all in a way really. How much can I take from people and always get hurt by others!! 
Negative,Car show season has started without me 
Negative,my throat is raw. 
Negative,@KevChoice I just don't get it. What in a persons mind could even have them on some ish like this???  My prayers are with her fam for real
Negative,@frago I hate you. I didn't need to see that. I need to call my therapist now. 
Negative,Twilight didn't come yesterday  fingers crossed for today
Negative,@NileLegania glad I was able help you feel better. I hate to see you sick  Love you!
Negative,is tireddddddd. want to sleep but i have an assignment to finish and an exam tomorrow to study for 
Negative,"You know, I was thinking... I need money "
Negative,omg..its jst teusday 
Negative,@ddlovato @David_Henrie ummmmm i cant find it. 
Negative,Just heard that they found Sandra Cantu... She was only 8 yrs old 
Negative,@corrosivecandy Ive forgotten how to snoo-snoo  I wonder if snoo-snoo and I will ever meet again...
Negative,@AmaNorris wow that last tweet made me seem like a giant sexist...sorry about that 
Negative,"My bathtub drain is fired: it haz 1 job 2 do, &amp; it iz FAIL. I got all Drano on its ass, &amp; iz STILL NOT DRAINING. I wanna shower, dangit!! "
Negative,stuck at home 
Negative,@nomadicmatt mine is 1/10  how do you get it up?
Negative,Duckling in famous children's book stolen from Boston's Public Garden - The Boston Globe http://tinyurl.com/dc2htx via @ShareThis OH NO!! 
Negative,"@Appomattox_News Thank you! However, I hate to be on the same list that includes 2 convicts.  "
Negative,"Heading to Altrincham, again! Out of hours install "
Negative,MORNING!!! Good im bloody knackered!!! Work is not for me today  HELPPP!!!! xxx
Negative,@jeffreecuntstar  I don't have a garage.  But you can park in my driveway!
Negative,@lauredhel  What happened?
Negative,"&quot;On popular music&quot; by T.W.Adorno is probably the most difficult reading ever prescribed, I'm actually struggling to continue "
Negative,"http://twitpic.com/2y36e - cant see the flowers falling  i dont have a camera, just my cellphone"
Negative,"We've been good. I'm not liking the snow right now, was getting used to the nice Spring-like weather.  How about you?"
Negative,@brian_armstrong What a pity YouTube is currently blocked in China.  I can't see the vids. 
Negative,@margaretcho what happened to your show it was the hightlight of my life 
Negative,This is the best leather sofa in the world!  It's in the office though which means I'm still here working 
Negative,Still 3 more days until my Internet gets uncapped 
Negative,"If he doesn't get better in a few days, he could have something lodged in his belly "
Negative,i Love my atekinzz so much. &amp;&amp; i soo miss her.. 
Negative,I wanna sneak into the zoo and play with the kitties 
Negative,@lolitariot oh no  hope you're not getting sick too!
Negative,@alejandralei i dont think i can cause its my cousins birthday party 
Negative,"Our sweet little man just fell asleep while waiting up for daddy and big brother to get home!  Poor baby, he missed them so much today!"
Negative,the angel is going to miss the athlete this weekend 
Negative,trust is hard 
Negative,have watched that considering today. yaknow. shawnna tomomorrow;i need my bestfriend 
Negative,Grr i want to keep reading but if i do i wont have anything left to read 
Negative,"atekinzz, where in the world are you?? "
Negative,@RumLover No! u supposed to be my date 
Negative,"pears &amp; Brie, bottle of Cabernet, and &quot;Win a Date With Tad Hamilton&quot;... oh gawwd my life flashed forward to when I'm 40 with my 75 cats "
Negative,Crap. I need more dresses too. 
Negative,@kaeeeep yeah! i know! it was horrible!!!! ugh. saddening. 
Negative,@Brodhe geez ur no fun are you 
Negative,I wanna be in a punk rock band again 
Negative,@jyesmith That's a lot of angst for a Tuesday afternoon 
Negative,I'm very glad Britney isn't crazy anymore! That was one hell of a show! Now I'm sad that it's over.  Next up...AP at Cook County!
Negative,has a huuuge headache! omg I feel like crap! 
Negative,@Anistorm Sorry 
Negative,@cleders sorry...i was rooting for them too... 
Negative,"Man, that took forever. "
Negative,@shandasaurus  I see.
Negative,I am listing more items on ebay to sell!  Takes forever..meanwhile Coleman is watching The Hills season premier without me.. 
Negative,"Just got my presentation done, 23 slides done...  I'm crying for this week will be the hardest of all weeks."
Negative,Just lost $160 
Negative,I don't like the previously on skins thing that starts at season two. I like it when it went straight into the intro like before 
Negative,@Houndour ...i wish i was there...i'm pretty good at scaring the shit out of people 
Negative,Going to sound vain... but running out of my fav lip gloss 
Negative,"@stuiy never again will I click on a link that screams, &quot;I'm a spider, I'm a spider&quot;. I should have known better. yucky "
Negative,Why is that when you have time off from work you get sick? 
Negative,@pratama Same iMac came out $320 more in Indonesia than the States. 
Negative,Dammit... I need to stop buying furniture 
Negative,@Miss_Sil no i was half asleep and turned off the laptop after that 
Negative,"Death is peaceful,  life however, bites "
Negative, i think @JonathanRKnight lost the net ? sure hope not
Negative,"http://is.gd/r8Zf,  http://is.gd/r8Zy, and  http://is.gd/r8ZG - test footage with my girlfriend (in HD) The dark one is underxposed "
Negative,Such a tough game to watch tonight for State  Finally going to bed after also staying up to watch the season premiere of the Hills!
Negative,Seems jRuby support for hpricot is now two versions behind 
Negative,@JinxCat Unlike my sister...I still don't have one 
Negative,Fraking app store is pissing me off   http://tinyurl.com/c4ooho
Negative,Logging out. I need to study.... 
Negative,anyone else having problems accessing TTB??? I cant get on!!! 
Negative,I strongly dislike people who make stupid comments and dont know the whole story 
Negative,"@emmaketurah  i'm sorry Emma, is swarley a goldfish? i'm sad for u."
Negative,"All my tweets are already gone, aren't they  Missed you guys tonight."
Negative,Can't sleep again. Face is kinda swollen. Don't let me be allergic to the thing that'll get me to Thursday. School tomorrow? Doubtful. 
Negative,"@Snick_the_Dog If Izzy's on the cat tree, she'll stare him down, but if she's on the floor, he chases and she runs. "
Negative,I am officially banning godaddy.com from my comp. My head hurts from the small print AND I wasted $10 that could've happily gone to Boba 
Negative,@HumanOpium pretty much just scary for me 
Negative,@ilovepie mines too... I'm finding it well hard to get fit... 
Negative,"Good morning! Ready 2 go, but I want 2 go back 2 bed "
Negative,hates waiting for mails 
Negative,wheat bread from the dollar store just doesn't toast nicely  going over my taxes and calling it an early night
Negative,"Why Kutner? I mean I knew something was going to happen to someone but it was so sad. I &lt;3 House and it was well done, but I'm still sad "
Negative,@JonathanRKnight aw ok goonite....  
Negative,ill so i cant go to the cinema!! 
Negative,Fell asleep . . . Really didn't mean too  *christina*
Negative,"@KelleyRowe hey, you remember that time we used to be friends?? ;)  ugh. vomit. sick.  i need sleep "
Negative,my lymph nodes are as massive as rahm emanuel's balls right now 
Negative,Oh no my computer sucks. I don't think i'll be able to listen to the Xbox 360 Fancast tonite 
Negative,is missing playing my trumpet 
Negative,My throat is still really sore. I was meant to be going on a 5 day camp from Friday but not so sure now 
Negative,@sasii I know exactly how you feel! 
Negative,At work 
Negative,Well bed time now. 1 am. *sighs* Back to 6 am mornings for a week on Wednesday. 
Negative,@hert Jesus Camp? Yeah... 
Negative,"@MaryBethune oh no! with everything that happened today, i forgot we were going dress shopping for the opera tomorrow. "
Negative,Turtles are better than my Mac - lasts longer and moves faster 
Negative,I am soaked. This is not pleasant 
Negative,@ginayates Sorry to hear about Maggie.    Thoughts to your mum.
Negative,"@ewarden, you may have to email this one to me  I hope you feel better."
Negative,@miamiiboii dead @ yu gettin on wen im leavin 
Negative,@arlenecd PLEASE TELL ME THAT'S SOMEWHERE CLOSE TO CALIFORNIA!!! LOL! 
Negative,@phlaimeaux where are you? 
Negative,stupid arranged marriages... i'll convert so you can marry me...love you! 
Negative,"@emilyruppe Well he said that he is a looser, and that is what the show implies "
Negative,Poor Sandra Cantu &amp; the Cantu family! My prayers go out to them! What a sick world we live in. She was only 8 
Negative,fuck omg  austins always there though man &lt;3 love you
Negative,@nicolerichie I cried so hard when Matthew died 
Negative,sad that the 'feet' of my macbook just fell off : sad that the 'feet' of my macbook just fell off 
Negative,@chordsy - why am I the last to find out about these things? Like that you're on the twitter too. 
Negative,@lovebscott absolutely not!! 
Negative,http://twitpic.com/2y3cf - Filled with curry  the true indian in me is coming out
Negative,im soooo cold right now 
Negative,@heidimontag lol I kant believe cam got beat upp sooo embarasssiiiin 
Negative,@JonathanRKnight Good Knight hun! Looking forward to ur tweets again! Hate that i keep missing out on the fun cuz of the time difference 
Negative,Tumblr: This is exactly how it feels wearing a �tie�  http://tinyurl.com/c8bvqh
Negative,@daniela_95616 hahaa!! i just realized &quot;impune&quot; definitely isnt the word i wanted... dang. i'm so unclever. 
Negative,watching old videos of dance team and such... makes me miss it  
Negative,Wahh  no CSI anywhere! DVR'ed I Love Money 2 though - gonna watch it then sleep - Goodnight Tweeters&lt;3
Negative,Struggling hard with Inventory 
Negative,@ddlovato Do you hate us?? Please don't 
Negative,@ballinbitch haha im not THAT ballin. I still got bills to paaaaay 
Negative,I'm in one of those days when I really just want to work from home.  Crap. 
Negative,@paul_e_wog Wait...is it a game or just episodes? I'm so confused. 
Negative,@carlyw66 HAHA. I cried...  I guess he did....
Negative,I don't get statistics!  Its all a bunch of mumbo jumbo for me.
Negative,"@sloanb Got it, sadly, only works for UK &amp; US at the moment "
Negative,Evicted 
Negative,doesn't enjoy learning CSS. 
Negative,@nachojohnny Brian don't make me fuck u up LOL I replied 2 ur message...did u get my # ? I miss u 
Negative,"@heidimontag I  dvr'd it and went to watch it, apparently the dish network went down SO I MISSED IT    I will have to catch a rerun!"
Negative,@JessDubb lmao. U may have to wait for another season to come thru. its summe boo. Hot nd dry ass weather 
Negative,@LizChavez I can't set my feet on the ground. The missing eyelid people might get me!  
Negative,@daniela_95616 my english professor would be ashamed. 
Negative,[-O] I wish the frogs weren't becoming extinct    http://tinyurl.com/cxe8w7
Negative,"Came home from Cross County, Tired as "
Negative,I don't want to walk home in this snow. Who wants to pick me up? 
Negative,"@heidimontag Lauren is being stubborn. she loves you, you love her.  I feel so bad for you, though. it made me cry  lol!"
Negative,is grouchy. and wants bmar 
Negative,"my heart is broken every morning dropping Foo at pre school, now i understand when moms say &quot;he has my heart broken&quot;. "
Negative,Not feeling well and back hurts 
Negative,Im in the mood for some chocolate. I want..... Miniature Reeses cups. Now 
Negative,I can't take this heat! It's like an oven in here. I feel sick nwo 
Negative,@nick_carter Come to the chat  just 15 minutes  please? http://fanclub.backstreetboys.com/chat.php
Negative,Boredd. Colddd  Internet keeps stuffing up
Negative,"I had a horrible nightmare last night which affected my sleep, now I'm really tired "
Negative,"im lonely  keep me company! 22 female, new york"
Negative,@Born_4_Broadway Lost  and it was St. Ignacius Prepatory School. Haha.
Negative,@birutagme yeah  it was really depressing... stuff like that gets to me
Negative,"@whoisariston No problem, tongue-in-cheek remark.  Lots of acronyms, but no NZ "
Negative,@greggrunberg hey you said matt was gonna go all ballistic... i was disappointed  good ep tho mostly
Negative,ugh horrible ending to the sandra kantu story  prayers go out.
Negative,@danielledeleasa http://twitpic.com/2y1pe - I hate 2 B allergic  i want a puppy soo bad that i've already thought some cool names
Negative,Morning folks 7.00 am ..yawn! Up &amp; away to see to horses - hope Twitter is better behaved today!  Last night was a travesty 
Negative,@QuanDotCom I miss mine too! 
Negative,@AmandaEnglund Sorry to hear about your loss.     There have been many this year so far.
Negative,@nicolerichie Gossip Girl was a repeat 
Negative,@InYourEyes2410 I reckon 
Negative,finding it really hard to use twitter 
Negative,I've been stuck in this house for two days 
Negative,is really sad and doesn't really know y!!??!!! 
Negative,@thousand_miles no 
Negative,"Maybe one of these years I'll get a tax return.  A girl can dream, right?"
Negative,"Back at work, tired as hell and i feel a cold coming "
Negative,@clarianne @Knot2serious APRIL 9TH ISN'T COMING SOON ENOUGH 
Negative,"@hannahsix cream for his eye and he may have herpes - not ocular herpes, but a different strain.    He's doing okay though."
Negative,gotta repeat  whole art folio cuz old one with a whole terms work got wet 
Negative,I'm ready for the weekend already. It's only Monday. 
Negative,@lovebscott umm nope..think im an insomniac ..plus i got the flu...i'lll be sleepin like a phuckin fish outta water any minute now! 
Negative,"has Finland sleeping for the night, not really enough time "
Negative,@lunafiko can't wait to try em but prolly have to wait until next weekend at the earliest 
Negative,Shiner is taking up all my bed and blankets! 
Negative,@clarianne APRIL 9TH ISN'T COMING SOON ENOUGH 
Negative,wants to cry 
Negative,I need to go to the bank tomorrow before I go broke... 
Negative,"This earthquake in italy has me sadden.  it's only three hours away from naples, where my family is "
Negative,"i should be sleeping, i have a stressed out week coming to me. "
Negative,@dragoneer Yea   I am working tp hack my server to do the 12player thing for folks
Negative,has hurt her ankle!! and is going to the dr 
Negative,@raymondroman oh noes. how did you manage to send something to the trash can AND empty it without noticing! i feel for ya 
Negative,Lost my free copy of radioactive so can't put it on my ipod grr!And i can't go out + buy 'nother coz it came with that paper 
Negative,doing make up shit 
Negative,"Photoshop, I hate it when you crash "
Negative,vacations makes me feel sick! 
Negative,you shouldn't have gone 
Negative,listening to Murd and 9th wonder- just chillen out missing my crazy sex life  
Negative,"@louie094: shooting!?!! be careful, luisa "
Negative,@hillary006 I'm sure everyone has ruined my gift to you  Whitney has my serious Cell #...We doing easter as well?
Negative,is at Beso in Hollywood... so tired 
Negative,"I don't want to wake up early tomorrow.  Damn you, work!"
Negative,just finished watching the movie Prayers for Bobby. Broke my heart 
Negative,@syekr is myki really horrible? 
Negative,@stephenkruiser i had 2 put my dog down today too  someone ran her over
Negative,@NevadaWolf Sorry to hear about your DNF run tonight. Always a risk to get bad coords on an FTF!! 
Negative,"@Honey3223 I did get some disgruntled people when I wrote my ESN, but the 1000 hits in one day made up for it. Bill pulls in 250 tops "
Negative,"@moony394 OHH! OMG. LMAO. I'm crying right now, LOL! KUTNERRRR was the best! "
Negative,came back from running and took a shower...why does my lower stomach still hurt after exercising? 
Negative,watching Fallon with mom and working on a project...school is hard 
Negative,56 min till home time and counting! I have a craving to visit the MAC store but they will have closed by the time I get there 
Negative,@stephenkruiser I am so sorry to hear that!  Take care!
Negative,@PaulColes  hmmm...greed is good when it motivates the individual to do better-not so much when it takes away from others 
Negative,"@GABBYiSACTiVE brat! You have to rub it in, don't you.... I want a mocha "
Negative,KUTNERRRR!  WHY??? WHY??????  And to think that 13 is still on the show?? UGH. Kutner/Kal Penn - you've been the bright star in Ho ...
Negative,@redvinylgirl my mom has it. I wish you the best of luck 
Negative,I so hate homeworks -.- My head hurts so bad 
Negative,got the ebay blues! item i want jumped from no bidders to over $100 in an hour.. still has 3 hours to go. i'd better not get my hopes up 
Negative,@gigdiary I know -  was a little depressed that we ate so much last night there were no leftovers today 
Negative,"well the pc in my living room suffered a fatal partion lost, all my itunes library is gone.. and some docs with pics.... "
Negative,sad day: manu out for the season 
Negative,@stephenkruiser You poor spunky...its so sad...my Rotti made it to 10 and I had to go down the same path....I know how you feel 
Negative,im sooo sad right now  i need a hug
Negative,"wants her step brother home  im so worried, you dont even know. i hope he knows how much i care for him..."
Negative,@heidimontag just got done watching the hills! loved it! excited for the next episode! and im sad this is the last season! 
Negative,@ryanmwilson aww that stinks!  *hugs*
Negative,"I'm tired. I feel like crap. And the world feels all crummy. Make me happy, USB disco mouse. "
Negative,"i dont want to believe what im reading...buu,so sad "
Negative,Wondering why gamebattles is down 
Negative,White trash vs us... We were outnumbered.  http://twitpic.com/2y3jp
Negative,"@emitstop So true, I have it and don't use it "
Negative,"Spring break is here at last, but no one is here to celebrate "
Negative,Morning! Bah Car won't start.. waiting for the ANWB.... 
Negative,"@katebornstein which is pretty anti memorial tattoos   but for all but the strictest, there's no official BAN, just disapproving family"
Negative,"Balamurugan, a longterm member of the team is leaving this month. We'll miss working with him  hope he does well in his next venture"
Negative,@JustGelo Its sad knowing how they found her body. What a crazy world we live in. No child deserves that ya know. 
Negative,"I wanna rock a Maxi dress @ Coachella, but lacking funding "
Negative,Of course the baby is screaming in the crib the night before my first day back at work.  So I let him cry it out? Boooo
Negative,"I am home missing my baby  Busy week ahead Fri is a chill day with my guy and kids, Egg hunt Sat, Spiral and DMB Sat night and Easter!"
Negative,@FollowSavvy I never found her. everytime I click on her twitter thing through your myspace..... it goes to some dude's page 
Negative,@stephenkruiser that's horrible  sorryto hear that.
Negative,@David_Henrie i cant find it! it says dtmafiaofficial doesnt exist!there's jus 1 dtmafia i found n u dun seem to b followin it  wht to do?
Negative,i thought you would support me on this 
Negative,"augh, eff sarth  i stole some of MIL's nail polish, its pretty! =o"
Negative,Wishes I was on the Spring Fling Tour with Dawn &amp; neecee Sigh  G'knight
Negative,The Hoyts Distribution NZ website isn't working for me. Great. And it HAS to be like this when I need it most 
Negative,@crummyasshole i don't like that they only had him in the first movie  cillian murphy is hot 
Negative,wishes for good old cartoons to come back. ie: Captain Planet! Where's Wally! Daria! (sadness  )
Negative,not feeling v good abt myself 
Negative,i just got a text from sarah 
Negative,Another day at centre point - this time an early start so guessing train will be rammed with commuters 
Negative,"Four games this fall: Modern Warfare 2, Halo 3 ODST, Brutal Legend, and Bioshock 2 I need more cash "
Negative,"@d_castillo ugh, that's disconcerting "
Negative,@Devinthedude007 actually the whole site has finally been taken over by those damn russians 
Negative,MY TWEETS ARENT GOING THROUGH 
Negative,"Just finished a delicious breakfast, my last in Paris  I'll miss milk, europe has the tastiest milk in the world, I don't drink it in US."
Negative,"iLearn is down and out, great considering finals are this week... "
Negative,@Carmonium i'm stressed outttt 
Negative,Also I shouldve Bern asleep an hour ago 
Negative,trying to figure out this twitter thing...none of my friends are on  yet. Soo much to see.
Negative,Re-pinging @Kyle44: Custom icons I made! =] look cool but the edges could be less square  might look bad on a diff background
Negative,I want to be back in LA 
Negative,@enterbelladonna i dunno how to use the forum and i get frustrated with it. i'll miss talking to you on here. 
Negative,@lilbucknuts41 not an option 
Negative,@georgeruiz Unfortunately one of those moments wasn't a giant squid monster. 
Negative,@thestar_rage I want one too    is the branch in MidV open too?
Negative,"@daNanner aw, sorry to hear that. "
Negative,"Change of plans, we ordered Macs instead. Time to hit the books! "
Negative,@polhillian YUP. 
Negative,@NKDreamer did you see Donnie's tweet stats? almost 700 @ replies...and no JRK 
Negative,"@tim_grainger nah, I haven't received my stimulus yet "
Negative,@ikimb0 i just seen ur tweet . plz write bak if u get this. i havnt got one reply bak 
Negative,@McCainBlogette Awwwww and you were trying to go to sleep 3 hours ago 
Negative,"@stephenkruiser I'm so sorry to hear that.  It's always sad when we lose those close to us, as we loved them."
Negative,cant sleep but im still feelin like a piece of shit 
Negative,@stephenkruiser oh  my sympathies. it's a hard decision. i always hope my old border collie will go in her sleep. she's 14 too. *hug*
Negative,@josephheustess ...well there was this really cool part where... i wont spoil it 
Negative,@limbecky I'm doing the time warp without you and am sad. 
Negative,"@theresawhite this is true, lol but it's still a slap in the face after such a warm end of march "
Negative,I hate converting movies just to put em on my itouch 
Negative,gross i have a pimple 
Negative,@Torturedlady yea  ma'naaaaaaaaaaaaaaaaaaaam (marwan accent) lol
Negative,one less follower tonight 
Negative,@Unholyknight so did your mom last night.  brb while I figure out whether I just burned you or myself the most.
Negative,I feel like I am the only &quot;twitterer&quot; not on TweetDeck. 
Negative,@Wyldceltic1 He has Karate tournament in 8 weeks  
Negative,going to sleep can't be up until 1am again...and no I didn't finish my statistics homework! 
Negative,North carolina baby!! Aint nothin stopping them but the nba draft 
Negative,Can't sleep again 
Negative,"I reaaly miss john mayer's twitters.  fuck rude people. Remove him if you don't like his tweets, bitchfucks."
Negative,is going to have a late one at MQU today 
Negative,im so tired of work...i need a life.... 
Negative,"just leavin work, my feet hurt "
Negative,@PlayRadioPlay that was so sad and unexpected.  i totally cried haha.
Negative,Superneej: Morning! Bah Car won't start.. waiting for the ANWB.... 
Negative,Still doing my homework!!! 
Negative,A little sad 
Negative,@deepbluesealove My Mom &amp; Dad both get up around 6...too early for me 
Negative,should've been asleep two hours ago 
Negative,@stephenkruiser So sorry to hear about your dog. 
Negative,"Funny how the little things make me homesick, criminals breakn n2 a brownstone on LawNOrd CI made me misty "
Negative,"@djsoulsister yeah, great vid. I had the 12&quot; single, but sold it a few years ago "
Negative,im on val's mac in iitsc clubroom. still sweating 
Negative,@stephenkruiser awww so sad!!!  I'm so sorry!!
Negative,UpdatingFFE.  That gives me nothing to do for a good twenty minutes!
Negative,"Hot compress not rily workng for pulled muscle  gng to bed, good night"
Negative,Have an invite for &quot;Healthy Dining&quot; session at Ashok Hotel today with Exec Chef R.Chopra but damn workload - will have to skip it! 
Negative,@stephenkruiser I'm so sorry to hear about your dog   wishing you happier days to come!
Negative,@hellivina I miss 'em too. 
Negative,"@misstoriblack cool , i have no tweet apps  for my razr 2"
Negative,I'm off too bed. I gotta wake up hella early tomorrow morning. 
Negative,still procrastinating... i hate organizing my clothes  there's just so much....
Negative,"Just been playing with the new Mobbler v0.4.0 and it adds some great new features, but won't play music on my E71, like v0.3.5 did "
Negative,@latroneb oh but there's one bestie missing 
Negative,"@esuriospiritus time to come back to flawda for double dates! no, seriously, i'm sorry to hear that. "
Negative,I'm up way to late to be working for a client 12:10 AM  #fb
Negative,blegghhhh i have to go to work 
Negative,Back at work  @ John Muir Dr http://loopt.us/KoqAbg
Negative,@DAChesterFrench I emailed you yesterday and u never responded 
Negative,It's going to be a long year for A's fans. 
Negative,Just got done watching the new House episode.Definitely one of the saddest episodes ever. 
Negative,Man... taxes suck.  I'm horrified that i did something wrong on them.  TurboTax decided to keep around a lot of the stuff I turned off.  
Negative,Sleep time.  Tomorrow is gonna suck 
Negative,WTF Not Kutner!  Oh I'm so pissed @ House.  I mean really WTF   
Negative,@AmberPacific i know i dont know why i said that 
Negative,CASH RULES EVERYTHING AROUND ME 
Negative,Just picked up some oats from the market to eat for breakfast with my boy @adamgoldston now time to do work at USC... late night 
Negative,i feel sick  too much icecream
Negative,@faithgg45  this computer doesn't have shockwave...blah  no account yet
Negative,@RubyRose1 awww wish i could go! but its in sydney 
Negative,@luxuryprgal hahaha suriously! I feel like everyone knows this show is a joke except lc! 
Negative,"I just can't spell today, i totally suck "
Negative,are you vaccinated against chicken-pox?should I vaccinate my 3 yr old?I am SO confused about this damn thing 
Negative,@ school  at least last day!!!!!!
Negative,Yawwwn! Gotta get up early tomorrow  who's ready for the weekend???
Negative,i miss being at home for calving season...sad that black one died this morning  wish i had some bottle calves!
Negative,@stephenkruiser i so sorry for your loss. my brother dog sam is sick w/cushings disease. 
Negative,Back to work. I get to spend the next 8 hours alone in the dispatch room 
Negative,"there's a new kind of starburst: favereds. sounds fab, bc cherry and strawberry are MY fav red's but they added watermellon and its yucky "
Negative,"Well, so much for being productive on my 2 days off from Angels "
Negative,@andreabakes Oh gee - insomnia sucks   Have you tried melatonin?
Negative,@vivekg86 Good to hear that we have support in NetBeans. But then its NetBeans you know 
Negative,@heidimontag I wish we would get it the same time at the rest of world. unfornately I am in Cairo and have to wait for mtva to play it 
Negative,heartbroken over little sandra. prayers are with the family. 
Negative,"@hadtobeyou I'm at 900 words, it's all can do  I'll finish tomorrow maybe"
Negative,@shortiethug how come ur background covers the screen but mine is in the corner? 
Negative,"Wrote exactly three lines of dialogue tonight, then gave up. "
Negative,@ashman01 My only complaint about Facebook is they've changed it so much it's confusing 
Negative,Sliced my finger 
Negative,going thru town and traffic on bypass is stink 
Negative,Ugh can't sleep.  Wish i had a good cuddle to  Make me ass out 
Negative,I hate when software update downloads updates without telling me. I never know what's downloading when it is 
Negative,went to ihop again. Great for a diet   At least there were no kung foo pancakes this time. -Rachel-
Negative,The internet is hating me. Night i s'pose. 
Negative,@contactabe I'm so jealous.  I missed all of opening day this year 
Negative,It's so cruel having to wait for reviews to come in.  So far it looks like Star Trek will be the best film of the year!
Negative,"Debating if I should just shower now, so I can sleep a little later tomorrow "
Negative,My stress always culminates with physical pain.  
Negative,need to sleep. but cant 
Negative,my little pinky finger hurts so much.. 
Negative,@sarahsaturday I'm sorry your gift card ran out.... That suck. 
Negative,home for spring break. no one is home tho 
Negative,I accessed oneindia.mobi from a Google phone (Android). It doesn't support Indic languages 
Negative,Why does school take over your life so much you don't get sleep anymore  .. I am still doing school work and have more to do as well
Negative,@MTsiaklides aw I wish I could! I can't really speak to my yia yia because she doesn't speak english 
Negative,@winggato no free comp lol 
